class,precision,recall,f1-score,support
Black-grass,0.7692307692307693,0.7692307692307693,0.7692307692307693,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0
Fat Hen,1.0,0.9375,0.967741935483871,48.0
Loose Silky-bent,0.8970588235294118,0.9384615384615385,0.9172932330827067,65.0
Maize,0.88,1.0,0.9361702127659575,22.0
Scentless Mayweed,0.9807692307692307,0.9807692307692307,0.9807692307692307,52.0
Shepherds Purse,1.0,0.9565217391304348,0.9777777777777777,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.9557894736842105,0.9557894736842105,0.9557894736842105,0.9557894736842105
macro avg,0.9506694834965909,0.9470226377625702,0.9479080384360943,475.0
weighted avg,0.9570756395633045,0.9557894736842105,0.9557852006624503,475.0
