class,precision,recall,f1-score,support
Black-grass,0.8333333333333334,0.7692307692307693,0.8,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
Fat Hen,1.0,0.9375,0.967741935483871,48.0
Loose Silky-bent,0.8955223880597015,0.9230769230769231,0.9090909090909091,65.0
Maize,0.88,1.0,0.9361702127659575,22.0
Scentless Mayweed,0.9807692307692307,0.9807692307692307,0.9807692307692307,52.0
Shepherds Purse,1.0,0.9565217391304348,0.9777777777777777,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.96,0.96,0.96,0.96
macro avg,0.9564814136737306,0.9571042228441552,0.9561633368390178,475.0
weighted avg,0.9607065724011522,0.96,0.9598899917567693,475.0
