class,precision,recall,f1-score,support
Black-grass,0.7777777777777778,0.8076923076923077,0.7924528301886792,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.967741935483871,0.9836065573770492,0.975609756097561,61.0
Common wheat,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
Fat Hen,1.0,0.9375,0.967741935483871,48.0
Loose Silky-bent,0.921875,0.9076923076923077,0.9147286821705427,65.0
Maize,0.88,1.0,0.9361702127659575,22.0
Scentless Mayweed,0.9807692307692307,0.9807692307692307,0.9807692307692307,52.0
Shepherds Purse,1.0,0.9130434782608695,0.9545454545454545,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.926829268292683,1.0,0.9620253164556963,38.0
accuracy,0.9557894736842105,0.9557894736842105,0.9557894736842105,0.9557894736842105
macro avg,0.9506145137253763,0.9516162325735561,0.950347913876293,475.0
weighted avg,0.9572805230194552,0.9557894736842105,0.9559837134440002,475.0
