class,precision,recall,f1-score,support
Black-grass,0.9047619047619048,0.7307692307692307,0.8085106382978723,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0
Fat Hen,0.9782608695652174,0.9375,0.9574468085106383,48.0
Loose Silky-bent,0.875,0.9692307692307692,0.9197080291970802,65.0
Maize,0.9166666666666666,1.0,0.9565217391304348,22.0
Scentless Mayweed,0.9807692307692307,0.9807692307692307,0.9807692307692307,52.0
Shepherds Purse,1.0,0.9565217391304348,0.9777777777777777,23.0
Small-flowered Cranesbill,1.0,1.0,1.0,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.96,0.96,0.96,0.96
macro avg,0.9613694708493915,0.9480482787882112,0.9530623779922385,475.0
weighted avg,0.9609770593531884,0.96,0.9592312139962037,475.0
