class,precision,recall,f1-score,support
Black-grass,0.6666666666666666,0.6923076923076923,0.6792452830188679,26.0
Charlock,0.975,1.0,0.9873417721518987,39.0
Cleavers,0.9666666666666667,1.0,0.983050847457627,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,1.0,0.8636363636363636,0.9268292682926829,22.0
Fat Hen,0.9782608695652174,0.9375,0.9574468085106383,48.0
Loose Silky-bent,0.8615384615384616,0.8615384615384616,0.8615384615384615,65.0
Maize,0.84,0.9545454545454546,0.8936170212765958,22.0
Scentless Mayweed,0.9444444444444444,0.9807692307692307,0.9622641509433962,52.0
Shepherds Purse,1.0,0.8695652173913043,0.9302325581395349,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.9743589743589743,1.0,0.9870129870129869,38.0
accuracy,0.9368421052631579,0.9368421052631579,0.9368421052631579,0.9368421052631579
macro avg,0.9325452200514567,0.926955748130463,0.9285070588015607,475.0
weighted avg,0.9388735590369458,0.9368421052631579,0.9370883661377463,475.0
