class,precision,recall,f1-score,support
Black-grass,0.7368421052631579,0.5384615384615384,0.6222222222222222,26.0
Charlock,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
Fat Hen,0.9772727272727273,0.8958333333333334,0.9347826086956522,48.0
Loose Silky-bent,0.821917808219178,0.9230769230769231,0.8695652173913043,65.0
Maize,0.9130434782608695,0.9545454545454546,0.9333333333333332,22.0
Scentless Mayweed,0.8813559322033898,1.0,0.936936936936937,52.0
Shepherds Purse,1.0,0.782608695652174,0.878048780487805,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.9305263157894736,0.9305263157894736,0.9305263157894736,0.9305263157894736
macro avg,0.9325648779446915,0.9117985321580298,0.9189454294333981,475.0
weighted avg,0.9314978718502652,0.9305263157894736,0.9284293998537637,475.0
