class,precision,recall,f1-score,support
Black-grass,0.3333333333333333,0.07692307692307693,0.125,26.0
Charlock,0.8809523809523809,0.9487179487179487,0.9135802469135802,39.0
Cleavers,1.0,0.9310344827586207,0.9642857142857143,29.0
Common Chickweed,0.9672131147540983,0.9672131147540983,0.9672131147540983,61.0
Common wheat,0.9285714285714286,0.5909090909090909,0.7222222222222223,22.0
Fat Hen,0.9565217391304348,0.9166666666666666,0.9361702127659574,48.0
Loose Silky-bent,0.6888888888888889,0.9538461538461539,0.8000000000000002,65.0
Maize,0.7692307692307693,0.9090909090909091,0.8333333333333333,22.0
Scentless Mayweed,0.9074074074074074,0.9423076923076923,0.9245283018867925,52.0
Shepherds Purse,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0
Small-flowered Cranesbill,0.98,0.98,0.98,50.0
Sugar beet,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.8575470981297468,0.8347066919185261,0.8336378100270315,475.0
weighted avg,0.8696020802656957,0.88,0.8651398228224276,475.0
