class,precision,recall,f1-score,support
Black-grass,0.7,0.2692307692307692,0.3888888888888889,26.0
Charlock,0.9024390243902439,0.9487179487179487,0.9249999999999999,39.0
Cleavers,1.0,0.9310344827586207,0.9642857142857143,29.0
Common Chickweed,0.9666666666666667,0.9508196721311475,0.9586776859504132,61.0
Common wheat,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
Fat Hen,0.9183673469387755,0.9375,0.9278350515463918,48.0
Loose Silky-bent,0.7294117647058823,0.9538461538461539,0.8266666666666667,65.0
Maize,0.875,0.9545454545454546,0.9130434782608695,22.0
Scentless Mayweed,0.864406779661017,0.9807692307692307,0.918918918918919,52.0
Shepherds Purse,1.0,0.782608695652174,0.878048780487805,23.0
Small-flowered Cranesbill,0.98,0.98,0.98,50.0
Sugar beet,1.0,0.9736842105263158,0.9866666666666666,38.0
accuracy,0.8968421052631579,0.8968421052631579,0.8968421052631579,0.8968421052631579
macro avg,0.9058020763079933,0.8582600212117876,0.8687323840357578,475.0
weighted avg,0.9001845723211285,0.8968421052631579,0.8886463067676981,475.0
