class,precision,recall,f1-score,support
Black-grass,0.72,0.6923076923076923,0.7058823529411765,26.0
Charlock,0.975,1.0,0.9873417721518987,39.0
Cleavers,0.9666666666666667,1.0,0.983050847457627,29.0
Common Chickweed,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
Common wheat,1.0,0.8636363636363636,0.9268292682926829,22.0
Fat Hen,0.9782608695652174,0.9375,0.9574468085106383,48.0
Loose Silky-bent,0.8656716417910447,0.8923076923076924,0.8787878787878788,65.0
Maize,0.84,0.9545454545454546,0.8936170212765958,22.0
Scentless Mayweed,0.9444444444444444,0.9807692307692307,0.9622641509433962,52.0
Shepherds Purse,1.0,0.8695652173913043,0.9302325581395349,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.9743589743589743,1.0,0.9870129870129869,38.0
accuracy,0.9410526315789474,0.9410526315789474,0.9410526315789474,0.9410526315789474
macro avg,0.9373340961836164,0.9295198506945656,0.9321642660658712,475.0
weighted avg,0.9423584503697554,0.9410526315789474,0.9409068417992035,475.0
