class,precision,recall,f1-score,support
Black-grass,0.782608695652174,0.6923076923076923,0.7346938775510203,26.0
Charlock,0.975,1.0,0.9873417721518987,39.0
Cleavers,0.9666666666666667,1.0,0.983050847457627,29.0
Common Chickweed,0.9523809523809523,0.9836065573770492,0.9677419354838709,61.0
Common wheat,0.95,0.8636363636363636,0.9047619047619048,22.0
Fat Hen,1.0,0.875,0.9333333333333333,48.0
Loose Silky-bent,0.8695652173913043,0.9230769230769231,0.8955223880597014,65.0
Maize,0.84,0.9545454545454546,0.8936170212765958,22.0
Scentless Mayweed,0.9444444444444444,0.9807692307692307,0.9622641509433962,52.0
Shepherds Purse,1.0,0.8695652173913043,0.9302325581395349,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.9389473684210526,0.9389473684210526,0.9389473684210526,0.9389473684210526
macro avg,0.9358888313779617,0.9268756199253348,0.9297348127847372,475.0
weighted avg,0.9402405215938398,0.9389473684210526,0.9382654092097304,475.0
