class,precision,recall,f1-score,support
Black-grass,0.8571428571428571,0.6923076923076923,0.7659574468085107,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,0.9655172413793104,0.9824561403508771,29.0
Common Chickweed,1.0,0.9836065573770492,0.9917355371900827,61.0
Common wheat,1.0,1.0,1.0,22.0
Fat Hen,1.0,0.9791666666666666,0.9894736842105264,48.0
Loose Silky-bent,0.8732394366197183,0.9538461538461539,0.9117647058823529,65.0
Maize,0.9166666666666666,1.0,0.9565217391304348,22.0
Scentless Mayweed,1.0,0.9807692307692307,0.9902912621359222,52.0
Shepherds Purse,0.9583333333333334,1.0,0.9787234042553191,23.0
Small-flowered Cranesbill,0.98,0.98,0.98,50.0
Sugar beet,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
accuracy,0.9642105263157895,0.9642105263157895,0.9642105263157895,0.9642105263157895
macro avg,0.9632555420240743,0.9590748127393681,0.9600506775408619,475.0
weighted avg,0.9647465494722722,0.9642105263157895,0.9636014618317048,475.0
