class,precision,recall,f1-score,support
Black-grass,0.8695652173913043,0.7692307692307693,0.8163265306122449,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,0.967741935483871,0.9836065573770492,0.975609756097561,61.0
Common wheat,1.0,0.9545454545454546,0.9767441860465117,22.0
Fat Hen,1.0,0.9791666666666666,0.9894736842105264,48.0
Loose Silky-bent,0.8985507246376812,0.9538461538461539,0.9253731343283582,65.0
Maize,1.0,1.0,1.0,22.0
Scentless Mayweed,1.0,0.9615384615384616,0.9803921568627451,52.0
Shepherds Purse,1.0,1.0,1.0,23.0
Small-flowered Cranesbill,1.0,1.0,1.0,50.0
Sugar beet,0.95,1.0,0.9743589743589743,38.0
accuracy,0.9705263157894737,0.9705263157894737,0.9705263157894737,0.9705263157894737
macro avg,0.973821489792738,0.9668278386003796,0.9698565352097434,475.0
weighted avg,0.9708352648802934,0.9705263157894737,0.9702633279302003,475.0
