class,precision,recall,f1-score,support
Black-grass,0.8571428571428571,0.6923076923076923,0.7659574468085107,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,1.0,0.9836065573770492,0.9917355371900827,61.0
Common wheat,1.0,1.0,1.0,22.0
Fat Hen,1.0,0.9583333333333334,0.9787234042553191,48.0
Loose Silky-bent,0.8732394366197183,0.9538461538461539,0.9117647058823529,65.0
Maize,1.0,1.0,1.0,22.0
Scentless Mayweed,0.9811320754716981,1.0,0.9904761904761905,52.0
Shepherds Purse,1.0,1.0,1.0,23.0
Small-flowered Cranesbill,1.0,1.0,1.0,50.0
Sugar beet,0.9487179487179487,0.9736842105263158,0.9610389610389611,38.0
accuracy,0.968421052631579,0.968421052631579,0.968421052631579,0.968421052631579
macro avg,0.9716860264960187,0.9634814956158787,0.9666413538042847,475.0
weighted avg,0.9686661634564343,0.968421052631579,0.9677440696767725,475.0
