class,precision,recall,f1-score,support
Black-grass,0.8571428571428571,0.6923076923076923,0.7659574468085107,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,1.0,0.9836065573770492,0.9917355371900827,61.0
Common wheat,1.0,1.0,1.0,22.0
Fat Hen,1.0,1.0,1.0,48.0
Loose Silky-bent,0.8732394366197183,0.9538461538461539,0.9117647058823529,65.0
Maize,0.9565217391304348,1.0,0.9777777777777777,22.0
Scentless Mayweed,0.9811320754716981,1.0,0.9904761904761905,52.0
Shepherds Purse,1.0,1.0,1.0,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,1.0,0.9736842105263158,0.9866666666666666,38.0
accuracy,0.9705263157894737,0.9705263157894737,0.9705263157894737,0.9705263157894737
macro avg,0.9723363423637257,0.9652870511714342,0.9678564428917142,475.0
weighted avg,0.9707549975818819,0.9705263157894737,0.9698518381307897,475.0
