class,precision,recall,f1-score,support
Black-grass,0.7777777777777778,0.8076923076923077,0.7924528301886792,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,1.0,0.9836065573770492,0.9917355371900827,61.0
Common wheat,1.0,1.0,1.0,22.0
Fat Hen,1.0,0.9583333333333334,0.9787234042553191,48.0
Loose Silky-bent,0.9076923076923077,0.9076923076923077,0.9076923076923076,65.0
Maize,0.9565217391304348,1.0,0.9777777777777777,22.0
Scentless Mayweed,0.9807692307692307,0.9807692307692307,0.9807692307692307,52.0
Shepherds Purse,0.9583333333333334,1.0,0.9787234042553191,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.9487179487179487,0.9736842105263158,0.9610389610389611,38.0
accuracy,0.9642105263157895,0.9642105263157895,0.9642105263157895,0.9642105263157895
macro avg,0.960817694785086,0.9659814956158786,0.9632343702555555,475.0
weighted avg,0.9649655772653485,0.9642105263157895,0.9644516719603567,475.0
