class,precision,recall,f1-score,support
Black-grass,0.875,0.8076923076923077,0.8400000000000001,26.0
Charlock,1.0,1.0,1.0,39.0
Cleavers,1.0,1.0,1.0,29.0
Common Chickweed,1.0,0.9836065573770492,0.9917355371900827,61.0
Common wheat,1.0,1.0,1.0,22.0
Fat Hen,1.0,0.9791666666666666,0.9894736842105264,48.0
Loose Silky-bent,0.9117647058823529,0.9538461538461539,0.9323308270676691,65.0
Maize,0.9166666666666666,1.0,0.9565217391304348,22.0
Scentless Mayweed,1.0,1.0,1.0,52.0
Shepherds Purse,1.0,1.0,1.0,23.0
Small-flowered Cranesbill,1.0,0.98,0.98989898989899,50.0
Sugar beet,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
accuracy,0.9747368421052631,0.9747368421052631,0.9747368421052631,0.9747368421052631
macro avg,0.9730929652562779,0.9731663246757077,0.9728037490020015,475.0
weighted avg,0.9751186790505676,0.9747368421052631,0.9746748128966692,475.0
