class,precision,recall,f1-score,support
Black-grass,0.7647058823529411,0.5,0.6046511627906976,26.0
Charlock,0.9285714285714286,1.0,0.962962962962963,39.0
Cleavers,1.0,0.8620689655172413,0.9259259259259259,29.0
Common Chickweed,0.9516129032258065,0.9672131147540983,0.959349593495935,61.0
Common wheat,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0
Fat Hen,1.0,0.8958333333333334,0.945054945054945,48.0
Loose Silky-bent,0.8108108108108109,0.9230769230769231,0.8633093525179857,65.0
Maize,1.0,1.0,1.0,22.0
Scentless Mayweed,0.8225806451612904,0.9807692307692307,0.8947368421052632,52.0
Shepherds Purse,1.0,0.8260869565217391,0.9047619047619047,23.0
Small-flowered Cranesbill,0.98,0.98,0.98,50.0
Sugar beet,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
accuracy,0.9178947368421052,0.9178947368421052,0.9178947368421052,0.9178947368421052
macro avg,0.9280606487842081,0.8976974248446038,0.9081798191978745,475.0
weighted avg,0.9211088082275539,0.9178947368421052,0.9155875961760795,475.0
