epoch,train_loss,train_acc,val_acc,val_f1
1,1.9363282955054082,0.4275568181818182,0.6778947399791918,0.605264081244632
2,1.380576075929584,0.6669034090909091,0.7831578966190941,0.7366727576051509
3,1.2354033571301084,0.7265625,0.8231578963681271,0.8085660419981305
4,1.1730470982464878,0.7627840909090909,0.8231578964936106,0.8024282039351323
5,1.1356621258186572,0.7720170454545454,0.8378947384733902,0.8207616882371075
6,1.098675124572985,0.7876420454545454,0.8610526329592655,0.841175634814865
7,0.9918885158770012,0.8383049242424242,0.8863157903520684,0.8680481794512581
8,0.9289677088910883,0.8570075757575758,0.8926315797002692,0.8782112286275546
9,0.8941485412193068,0.8849431818181818,0.8968421060160586,0.8765812640263763
10,0.8708719249927637,0.8847064393939394,0.8926315798257527,0.8748192860817924
11,0.8376707579150344,0.9088541666666666,0.9178947374695225,0.9081798191978745
12,0.813599761688348,0.9166666666666666,0.9157894741861444,0.9048391519358455
13,0.7995138836629463,0.9242424242424242,0.9178947375950061,0.9074967019618025
14,0.7903163469198978,0.9263731060606061,0.9178947375950061,0.9104871527490274
15,0.7869056950915944,0.9270833333333334,0.9094736848379437,0.8961981689843319
16,0.776852118246483,0.9289772727272727,0.9136842110282496,0.9013973771957692
17,0.7721288475123319,0.9341856060606061,0.9115789481213218,0.9002255493221383
18,0.7581320152138219,0.939157196969697,0.9136842111537331,0.8983177048986857
19,0.7570104526750969,0.939157196969697,0.9178947374695225,0.9045650194264979
20,0.7513081666195032,0.9431818181818182,0.9178947374695225,0.9045650194264979
