class,precision,recall,f1-score,support
Black-grass,0.7222222222222222,0.5,0.5909090909090908,26.0
Charlock,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
Cleavers,1.0,0.9310344827586207,0.9642857142857143,29.0
Common Chickweed,0.9365079365079365,0.9672131147540983,0.9516129032258064,61.0
Common wheat,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
Fat Hen,1.0,0.8958333333333334,0.945054945054945,48.0
Loose Silky-bent,0.8108108108108109,0.9230769230769231,0.8633093525179857,65.0
Maize,1.0,1.0,1.0,22.0
Scentless Mayweed,0.8620689655172413,0.9615384615384616,0.9090909090909091,52.0
Shepherds Purse,0.95,0.8260869565217391,0.8837209302325583,23.0
Small-flowered Cranesbill,0.9607843137254902,0.98,0.9702970297029702,50.0
Sugar beet,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
accuracy,0.9178947368421052,0.9178947368421052,0.9178947368421052,0.9178947368421052
macro avg,0.9211728164421129,0.899705235042069,0.9074967019618025,475.0
weighted avg,0.9185774031592332,0.9178947368421052,0.9157204517983731,475.0
