class,precision,recall,f1-score,support
Black-grass,0.7058823529411765,0.46153846153846156,0.558139534883721,26.0
Charlock,0.975,1.0,0.9873417721518987,39.0
Cleavers,1.0,0.9310344827586207,0.9642857142857143,29.0
Common Chickweed,0.9516129032258065,0.9672131147540983,0.959349593495935,61.0
Common wheat,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0
Fat Hen,1.0,0.8958333333333334,0.945054945054945,48.0
Loose Silky-bent,0.7972972972972973,0.9076923076923077,0.8489208633093526,65.0
Maize,1.0,1.0,1.0,22.0
Scentless Mayweed,0.7727272727272727,0.9807692307692307,0.864406779661017,52.0
Shepherds Purse,1.0,0.6521739130434783,0.7894736842105263,23.0
Small-flowered Cranesbill,0.98,0.98,0.98,50.0
Sugar beet,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
accuracy,0.9094736842105263,0.9094736842105263,0.9094736842105263,0.9094736842105263
macro avg,0.9217471617899812,0.8844646181710174,0.8961981689843319,475.0
weighted avg,0.9143941740718932,0.9094736842105263,0.9065136192852948,475.0
